climb_name,climb_url_x,stage_id,climb_url_y,length,steepness,top,km_before_finnish
Côte de Thizy-les-Bourgs,location/cote-de-thizy-les-bourgs,12,location/cote-de-thizy-les-bourgs,4.4,5.6,629,148
Col des Écorbans,location/col-des-ecorbans,12,location/col-des-ecorbans,2.0,5.8,824,131
Col de la Casse Froide,location/col-de-la-casse-froide,12,location/col-de-la-casse-froide,5.2,6.0,740,59
Col de la Croix Montmain,location/col-de-la-croix-montmain,12,location/col-de-la-croix-montmain,5.5,6.2,735,44
Col de la Croix Rosier,location/col-de-la-croix-rosier,12,location/col-de-la-croix-rosier,5.4,7.7,721,28
