climb_name,climb_url_x,stage_id,climb_url_y,length,steepness,top,km_before_finnish
Côte de Chambéry-le-Haut,location/cote-de-chambery-le-haut,18,location/cote-de-chambery-le-haut,1.6,4.3,345,123
Côte de Boissieu,location/cote-de-boissieu,18,location/cote-de-boissieu,2.6,4.8,354,80
