climb_name,climb_url_x,stage_id,climb_url_y,length,steepness,top,km_before_finnish
Ballon d'Alsace,location/ballon-d-alsace,20,location/ballon-d-alsace,11.5,5.3,1172,110
Col de la Croix des Moinats,location/col-de-la-croix-des-moinats,20,location/col-de-la-croix-des-moinats,5.2,7.0,882,77
Col de Grosse Pierre,location/col-de-grosse-pierre,20,location/col-de-grosse-pierre,3.2,7.9,937,69
Col de la Schlucht ,location/col-de-la-schlucht,20,location/col-de-la-schlucht,4.2,5.0,1136,54
Petit Ballon,location/petit-ballon,20,location/petit-ballon,9.3,8.1,1157,25
Col du Platzerwasel,location/col-du-platzerwasel,20,location/col-du-platzerwasel,7.1,8.3,1179,8
