climb_name,climb_url_x,stage_id,climb_url_y,length,steepness,top,km_before_finnish
Col des Saisies,location/col-des-saisies,17,location/col-des-saisies,13.5,5.2,1643,137
Cormet de Roselend,location/cormet-de-roselend,17,location/cormet-de-roselend,19.8,6.1,1971,99
Côte de Longefoy,location/cote-de-longefoy,17,location/cote-de-longefoy,6.7,7.5,1164,60
Col de la Loze,location/col-de-la-loze,17,location/col-de-la-loze,28.3,6.0,2300,7
